INSTNM,UGDS,UGDS_NRA,TUITFTE
COMMUNITY COLLEGE OF THE AIR FORCE,41694,0,NULL
Alabama A & M University,3745,0.0403,NULL
University of Alabama at Birmingham,10181,0.0279,NULL
ALABAMA AVIATION AND TECHNICAL COLLEGE,306,0.0458,NULL
Amridge University,78,0,NULL
University of Alabama in Huntsville,4036,0.0364,NULL
Alabama State University,4453,0.0065,NULL
The University of Alabama,14287,0.0304,NULL
Central Alabama Community College,1760,0.0028,NULL
Athens State University,2671,0,NULL
Auburn University at Montgomery,4440,0.0142,NULL
Auburn University,18171,0.0048,NULL
BESSEMER STATE TECHNICAL COLLEGE,1219,0,NULL
Birmingham Southern College,1443,0.0132,NULL
Chattahoochee Valley Community College,1755,0,NULL
CHAUNCEY SPARKS STATE TECHNICAL COLLEGE,625,0,NULL
Concordia College Alabama,525,0.0152,NULL
DOUGLAS MACARTHUR STATE TECHNICAL COLLEGE,564,0,NULL
South University-Montgomery,185,0,NULL
Enterprise State Community College,1534,0.0033,NULL
James H Faulkner State Community College,2748,0.0018,NULL
Faulkner University,398,0.0101,NULL
FAULKNER UNIVERSITY-BIRMINGHAM,371,0,NULL
FAULKNER UNIVERSITY-FLORENCE,371,0,NULL
FAULKNER UNIVERSITY-HUNTSVILLE,371,0,NULL
GADSDEN BUSINESS COLLEGE,128,0,NULL
Gadsden State Community College,4939,0.0204,NULL
GADSDEN BUSINESS COLLEGE-ANNISTON,123,0,NULL
George C Wallace State Community College-Dothan,2808,0.0004,NULL
George C Wallace State Community College-Hanceville,4630,0.0045,NULL
George C Wallace State Community College-Selma,1799,0,NULL
HARRY M AYERS STATE TECHNICAL COLLEGE,601,0,NULL
Herzing University-Birmingham,335,0,NULL
Huntingdon College,653,0.023,NULL
Heritage Christian University,136,0.1176,NULL
J F Drake State Community and Technical College,608,0.0263,NULL
Jacksonville State University,6299,0.0284,NULL
Jefferson Davis Community College,1269,0,NULL
Jefferson State Community College,3703,0.0192,NULL
John C Calhoun State Community College,6308,0.0002,NULL
JOHN M PATTERSON STATE TECHNICAL COLLEGE,1082,0,NULL
Judson College,287,0.0174,NULL
Lawson State Community College-Birmingham Campus,1445,0.0048,NULL
University of West Alabama,1800,0.0139,NULL
Lurleen B Wallace Community College,877,0.0023,NULL
Marion Military Institute,175,0.0057,NULL
Miles College,1340,0,NULL
University of Mobile,1856,0.0302,NULL
University of Montevallo,2652,0.0185,NULL
Northwest-Shoals Community College,3479,0.006,NULL
University of North Alabama,4962,0.0006,NULL
Northeast Alabama Community College,1359,0,NULL
Oakwood University,1756,0.1247,NULL
Alabama Southern Community College,1324,0,NULL
Prince Institute-Southeast,69,0,NULL
Reid State Technical College,567,0,NULL
Bishop State Community College,3616,0,NULL
Samford University,2880,0,NULL
Shelton State Community College,4495,0,NULL
Snead State Community College,1633,0,NULL
University of South Alabama,4825,0.0593,NULL
UNIVERSITY OF SOUTH ALABAMA-BALDWIN,4818,0.0589,NULL
SOUTHERN COMMUNITY COLLEGE,89,0,NULL
Spring Hill College,1148,0.0131,NULL
Southeastern Bible College,160,0.1125,NULL
Stillman College,1035,0,NULL
Talladega College,642,0.0031,NULL
H Councill Trenholm State Community College,656,0,NULL
TROY STATE UNIVERSITY-DOTHAN,1503,0,NULL
TROY STATE UNIVERSITY-PHENIX CITY,2643,0.0114,NULL
TROY STATE UNIVERSITY-MONTGOMERY,2486,0,NULL
Troy University,2650,0.0113,NULL
Tuskegee University,2618,0.0195,NULL
United States Sports Academy,NULL,NULL,NULL
UNIVERSITY OF ALABAMA AT BIRMINGHAM-WALKER COLLEGE,878,0.0034,NULL
Bevill State Community College,3150,0,NULL
University of Alaska Anchorage,6551,0.0165,NULL
University of Alaska Fairbanks,4286,0.0124,NULL
University of Alaska Southeast,985,0.0142,NULL
Alaska Pacific University,316,0.0348,NULL
AVTEC-Alaska's Institute of Technology,361,0,NULL
Charter College-Anchorage,443,0,NULL
NEW CONCEPTS BEAUTY SCHOOL INC,23,0,NULL
PRINCE WILLIAM SOUND COMMUNITY COLLEGE,129,0.0155,NULL
SHELDON JACKSON COLLEGE,140,0.0143,NULL
Alaska Career College,101,0,NULL
Collins College,977,0,NULL
Empire Beauty School-Paradise Valley,107,0,NULL
Empire Beauty School-Tucson,102,0,NULL
Thunderbird School of Global Management,NULL,NULL,NULL
American Indian College Inc,80,0.0125,NULL
American Institute of Technology,149,0,NULL
AMERICAN INSTITUTE,120,0,NULL
Carrington College-Phoenix,118,0,NULL
Carrington College-Mesa,101,0,NULL
Carrington College-Tucson,101,0,NULL
CollegeAmerica-Flagstaff,46,0,NULL
Arizona Academy of Beauty-East,58,0,NULL
Arizona Automotive Institute,428,0,NULL
ARIZONA BIBLE COLLEGE,73,0.0274,NULL
Brookline College-Phoenix,830,0.0193,NULL
Arizona State University-Tempe,32537,0.0381,NULL
Arizona Western College,3738,0.0013,NULL
University of Arizona,24769,0.0372,NULL
Southwest University of Visual Arts-Tucson,114,0,NULL
CARLOS VALENZUELA ACADEMY,58,0.0172,NULL
Central Arizona College,1809,0,NULL
Brown Mackie College-Tucson,373,0,NULL
Charles of Italy Beauty College,25,0,NULL
Cochise County Community College District,3072,0.0114,NULL
Empire Beauty School-Flagstaff,31,0,NULL
Empire Beauty School-Chandler,21,0,NULL
Cortiva Institute-Tucson,129,0.0233,NULL
DEVOE COLLEGE OF BEAUTY,33,0.0303,NULL
DEVRY INSTITUTE OF TECHNOLOGY,3237,0.0062,NULL
Avalon School of Cosmetology-Mesa,174,0,NULL
Eastern Arizona College,2205,0.0127,NULL
Glendale Community College,6138,0.0085,NULL
Grand Canyon University,1779,0.036,NULL
HIGH-TECH INSTITUTE,1018,0,NULL
International Academy of Hair Design,73,0.0137,NULL
LAMSON JUNIOR COLLEGE,155,0,NULL
LONG MEDICAL INSTITUTE,190,0,NULL
MARICOPA BEAUTY COLLEGE,42,0,NULL
GateWay Community College,1967,0.001,NULL
Mesa Community College,6010,0.015,NULL
ITT Technical Institute-Tucson,230,0.0652,NULL
