"","Academic_Year","Operating_Income","Total_Enrollment","Total_Intl_Enrollment","Government_funding","GDP.billion","Party","Visa_for_Intl_Students","Total_Visa","Operating_Income.billion","Income_per_GDP","Prop_Intl_Student","Government_funding_per_GDP","House","Senate"
"1",1987,33441380388,4903235,126572,6979370000,4870.217,"Republican",NA,NA,33.441380388,0.686650725994345,2.58139779145809,0.143307166805914,"Democrat","Democrat"
"2",1988,35839746557.2433,4979071,402,6262682000,5252.629,"Republican",NA,NA,35.8397465572433,0.682320159242987,0.00807379529233465,0.119229475373189,"Democrat","Democrat"
"3",1989,38773022025.8223,4988171,126575,11045998000,5657.693,"Republican",NA,NA,38.7730220258223,0.685315057317926,2.53750322513001,0.195238553947696,"Democrat","Democrat"
"4",1990,42596805996.2856,5192097,802,12372588000,5979.589,"Republican",NA,NA,42.5968059962856,0.712370131062278,0.0154465527127093,0.206913685873728,"Democrat","Democrat"
"5",1991,45715186481.2733,5316134,135790,12680605000,6174.043,"Republican",NA,NA,45.7151864812733,0.740441660047934,2.55429979755966,0.205385757760353,"Democrat","Democrat"
"6",1992,49214685222.2246,5506926,144787,15319467000,6539.299,"Republican",NA,NA,49.2146852222246,0.752598791127682,2.62918005435337,0.234267725026796,"Democrat","Democrat"
"7",1993,51834024693.0441,5568669,154626,15582426000,6878.718,"Democrat",NA,NA,51.8340246930441,0.753541934602408,2.77671378923761,0.226530961147121,"Democrat","Democrat"
"8",1994,54670016294.8225,5785893,158495,10836085000,7308.755,"Democrat",NA,NA,54.6700162948225,0.748007236455764,2.73933513806771,0.148261708047403,"Democrat","Democrat"
"9",1995,57786484323.9086,5684764,160759,14314535000,7664.06,"Democrat",NA,NA,57.7864843239086,0.753993109708283,2.82789223967785,0.186774829528996,"Republican","Republican"
"10",1996,59363687971.029,5664009,162380,14063272000,8100.201,"Democrat",NA,NA,59.363687971029,0.732866850724186,2.86687397565929,0.173616333718139,"Republican","Republican"
"11",1997,59793114678.8031,5552299,162426,12862075000,8608.515,"Democrat",36196,"5,942,061",59.7931146788031,0.694581059320953,2.92538280089023,0.149411077288011,"Republican","Republican"
"12",1998,66222805201.5157,5558244,164604,13611588000,9089.168,"Democrat",75928,"5,814,153",66.2228052015157,0.728590396849478,2.96143890048728,0.149756149297713,"Republican","Republican"
"13",1999,70419006173.2003,5721984,161643,12704750000,9660.624,"Democrat",109161,"6,192,478",70.4190061732003,0.72892813314337,2.82494673176297,0.131510656040438,"Republican","Republican"
"14",2000,118621339988.14,7851222,262043,10863394000,10284.779,"Democrat",131357,"7,141,636",118.62133998814,1.15336790404675,3.33760782716372,0.105625935180523,"Republican","Republican"
"15",2001,126770195993.789,8706613,287589,9085549000,10621.824,"Republican",154081,"7,588,778",126.770195993789,1.19348801104018,3.30310994642808,0.0855366178162997,"Republican","Republican"
"16",2002,141554329114.922,8707771.6107285,304230,16766832000,10977.514,"Republican",167529,"5,769,437",141.554329114922,1.28949349656873,3.4937756018448,0.152737969635019,"Republican","Republican"
"17",2003,147703450959.841,9081899.38574219,320049,21870442000,11510.67,"Republican",171624,"4,881,634",147.703450959841,1.28318725981929,3.52403155338243,0.19000146820298,"Republican","Republican"
"18",2004,157467323083.359,9153905.09299803,323642,24999920000,12274.928,"Republican",181498,"5,049,099",157.467323083359,1.28283704053791,3.53556210941666,0.2036665306713,"Republican","Republican"
"19",2005,166474625784.074,9367473.12489986,315249,28554250000,13093.726,"Republican",196617,"5,388,951",166.474625784074,1.27140758699299,3.36535793374235,0.218075817380018,"Republican","Republican"
"20",2006,177313980166.074,9561716,318689,26546680000,13855.888,"Republican",225222,"5,836,730",177.313980166074,1.27970130940777,3.33296868470053,0.191591329260167,"Republican","Republican"
"21",2007,187833059425.953,9696144,322812,21771273000,14477.635,"Republican",227546,"6,444,285",187.833059425953,1.29740153986444,3.3292822383826,0.150378656458738,"Democrat","Republican"
"22",2008,199288604145.648,9942166,330449,19018827000,14718.582,"Republican",251695,"6,603,076",199.288604145648,1.35399323213098,3.32371235805156,0.129216435387594,"Democrat","Republican"
"23",2009,207369376283.195,10435936,350949,21571627000,14418.739,"Democrat",268059,"5,804,182",207.369376283195,1.43819356382826,3.36288953860967,0.149608277117715,"Democrat","Democrat"
"24",2010,222261425057.327,11195414,358422,21047217000,14964.372,"Democrat",274226,"6,422,751",222.261425057327,1.48527064855997,3.20150733148412,0.140648849146493,"Democrat","Democrat"
"25",2011,238922522696.019,11579304.9029236,368169,30253797000,15517.926,"Democrat",281261,"7,507,939",238.922522696019,1.53965499446265,3.17954318576621,0.194960312351019,"Republican","Democrat"
"26",2012,240099451245.356,11474046.3586028,388838.485717773,21719657000,16155.255,"Democrat",296948,"8,927,090",240.099451245356,1.48620031838158,3.38885231561086,0.134443294147941,"Republican","Democrat"
"27",2013,245833730937,11243292,410961,7161373000,16691.517,"Democrat",302999,"9,164,349",245.833730937,1.47280640182076,3.65516612038538,0.0429042668799966,"Republican","Democrat"
