"","Year","Party"
"1",1993,"Democrat"
"2",1994,"Democrat"
"3",1995,"Democrat"
"4",1996,"Democrat"
"5",1997,"Democrat"
"6",1998,"Democrat"
"7",1999,"Democrat"
"8",2000,"Democrat"
"9",2001,"Republican"
"10",2002,"Republican"
"11",2003,"Republican"
"12",2004,"Republican"
"13",2005,"Republican"
"14",2006,"Republican"
"15",2007,"Republican"
"16",2008,"Republican"
"17",2009,"Democrat"
"18",2010,"Democrat"
"19",2011,"Democrat"
"20",2012,"Democrat"
"21",2013,"Democrat"
"22",2014,"Democrat"
"23",2015,"Democrat"
"24",2016,"Democrat"
"25",2017,"Republican"
